PD53330a_hum	PD53330b
PD53330c	PD53330b
PD53331a	PD53331b
PD53332a_hum	PD53332b
PD53332c_hum	PD53332b
PD53332d	PD53332b
PD53332e	PD53332b
PD53333a_hum	PD53333b
PD53333c_hum	PD53333b
PD53333d_hum	PD53333b
PD53333e_hum	PD53333b
PD53333f	PD53333b
PD53334a	PD53334b
PD53337a	PD53337b
PD53337c	PD53337b
PD53338a	PD53338b
PD53339a	PD53339b
PD53341a	PD53341b
PD53342a	PD53342b
PD53343a_hum	PD53343b
PD53343c_hum	PD53343b
PD53343d_hum	PD53343b
PD53343e_hum	PD53343b
PD53343f_hum	PD53343b
PD53343g_hum	PD53343b
PD53343h	PD53343b
PD53343i	PD53343b
PD53345a	PD53345b
PD53346a	PD53346b
PD53347a_hum	PD53347b
PD53347c	PD53347b
PD53348a	PD53348b
PD53349a_hum	PD53349b
PD53349c_hum	PD53349b
PD53349d	PD53349b
PD53349e	PD53349b
PD53350a_hum	PD53350b
PD53350c_hum	PD53350b
PD53350d	PD53350b
PD53350e	PD53350b
PD53351a	PD53351b
PD53352a_hum	PD53352b
PD53352c_hum	PD53352b
PD53352d	PD53352b
PD53352e	PD53352b
PD53353a	PD53353b
PD53354a	PD53354b
PD53355a_hum	PD53355b
PD53355c	PD53355b
PD53357a_hum	PD53357b
PD53357c	PD53357b
PD53357d	PD53357b
PD53357e	PD53357b
PD53358a	PD53358b
PD53359a_hum	PD53359b
PD53359c	PD53359b
PD53361a	PD53361b
PD53362a	PD53362b
PD53363a	PD53363b
PD53364a_hum	PD53364b
PD53364c	PD53364b
PD53365a	PD53365b
PD53366a	PD53366b
PD53367a	PD53367b
PD53368a	PD53368b
PD53369a	PD53369b
