biosample	concordance	cont_norm	cont_tumour	markers_used	markers_total
PD53330a-PD53330b	98.5600	0.0610	0.1280	7017	7353
PD53330c-PD53330b	99.3000	0.0610	0.0690	7028	7353
PD53331a-PD53331b	99.8700	0.0680	0.0450	7087	7353
PD53332a-PD53332b	85.5200	0.0640	0.1100	6904	7353
PD53332c-PD53332b	85.5600	0.0640	0.2800	6948	7353
PD53332d-PD53332b	97.6300	0.0640	0.0640	7057	7353
PD53332e-PD53332b	99.8200	0.0640	0.0630	7064	7353
PD53333a-PD53333b	93.3100	0.0580	0.0600	7038	7353
PD53333c-PD53333b	93.1800	0.0580	0.3270	6931	7353
PD53333d-PD53333b	93.2700	0.0580	0.2490	7045	7353
PD53333e-PD53333b	93.2100	0.0580	0.3010	6917	7353
PD53333f-PD53333b	96.9700	0.0580	0.0560	7040	7353
PD53334a-PD53334b	99.8200	0.0690	0.0600	7037	7353
PD53335a-PD53335b	36.7700	0.0480	100	6970	7353
PD53335c-PD53335b	36.5200	0.0480	99.7080	6826	7353
PD53335d-PD53335b	36.7600	0.0480	99.7000	6817	7353
PD53335e-PD53335b	38.7700	0.0480	97.8340	6962	7353
PD53337a-PD53337b	99.8500	0.0900	0.0500	7104	7353
PD53337c-PD53337b	99.8200	0.0900	0.0510	7073	7353
PD53338a-PD53338b	99.4700	0.0550	0.0710	7030	7353
PD53339a-PD53339b	99.8600	0.0560	0.0460	7035	7353
PD53341a-PD53341b	99.7900	0.0990	0.0670	6995	7353
PD53342a-PD53342b	99.8600	0.1970	0.0520	7037	7353
PD53343a-PD53343b	97.1800	0.1790	0.0800	7057	7353
PD53343c-PD53343b	97.1300	0.1790	0.0970	7132	7353
PD53343d-PD53343b	97.1000	0.1790	0.2090	7136	7353
PD53343e-PD53343b	97.1100	0.1790	0.1520	7092	7353
PD53343f-PD53343b	96.9600	0.1790	0.3900	6964	7353
PD53343g-PD53343b	96.9300	0.1790	0.3290	7040	7353
PD53343h-PD53343b	99.6200	0.1790	0.9160	7079	7353
PD53343i-PD53343b	99.4400	0.1790	0.2170	7148	7353
PD53343j-PD53343b	97.0400	0.1790	0.0380	7170	7353
PD53343k-PD53343b	95.8000	0.1790	0.0460	7140	7353
PD53345a-PD53345b	99.4100	0.2560	0.0440	7131	7353
PD53346a-PD53346b	99.8400	0.0730	0.0920	7059	7353
PD53347a-PD53347b	83.8000	0.5570	0.2390	6846	7353
PD53347c-PD53347b	97.4800	0.5570	0.2450	6944	7353
PD53348a-PD53348b	99.6900	0.6460	0.2270	7068	7353
PD53349a-PD53349b	90.0200	0.3230	0.0790	7027	7353
PD53349c-PD53349b	88.0200	0.3230	0.1740	7046	7353
PD53349d-PD53349b	95.7500	0.3230	1.6770	7036	7353
PD53349e-PD53349b	98.6200	0.3230	0.1200	7017	7353
PD53349f-PD53349b	88.0400	0.3230	0.0460	7093	7353
PD53350a-PD53350b	96.4300	0.2480	0.2810	6956	7353
PD53350c-PD53350b	95.4200	0.2480	1.0690	7046	7353
PD53350d-PD53350b	99.4500	0.2480	0.0630	7072	7353
PD53350e-PD53350b	99.4200	0.2480	0.1220	7058	7353
PD53350f-PD53350b	95.9400	0.2480	0.0660	7119	7353
PD53351a-PD53351b	97.7900	0.3330	0.1800	7072	7353
PD53352a-PD53352b	90.1800	0.3510	0.2780	6962	7353
PD53352c-PD53352b	92.4400	0.3510	0.2670	7007	7353
PD53352d-PD53352b	97.2400	0.3510	0.0790	7004	7353
PD53352e-PD53352b	93	0.3510	0.1580	7058	7353
PD53353a-PD53353b	99.8000	0.2520	0.0500	7116	7353
PD53354a-PD53354b	99.8400	0.1760	0.0700	7046	7353
PD53355a-PD53355b	92.4700	0.2460	0.1150	6968	7353
PD53355c-PD53355b	98.5800	0.2460	0.0900	7037	7353
PD53357a-PD53357b	92.1000	0.1960	0.0610	6983	7353
PD53357c-PD53357b	99.4900	0.1960	0.1660	7047	7353
PD53357d-PD53357b	92.7600	0.1960	0.0770	7007	7353
PD53357e-PD53357b	97.3200	0.1960	0.0740	7043	7353
PD53358a-PD53358b	94.4700	0.1700	0.0940	7031	7353
PD53359a-PD53359b	88.9200	0.0380	0.0520	6974	7353
PD53359c-PD53359b	89.3400	0.0380	0.0820	7017	7353
PD53361a-PD53361b	99.8000	0.1850	0.0440	7090	7353
PD53362a-PD53362b	99.6700	0.0440	0.6300	7062	7353
PD53363a-PD53363b	99.9400	0.1900	0.2010	7087	7353
PD53364a-PD53364b	87.8300	0.1640	0.5830	6976	7353
PD53364c-PD53364b	98.5800	0.1640	0.2160	7106	7353
PD53365a-PD53365b	93.4700	0.1330	0.0490	7062	7353
PD53366a-PD53366b	99.9200	0.0720	0.1140	7061	7353
PD53367a-PD53367b	99.8900	0.1110	0.2040	7069	7353
PD53368a-PD53368b	95.8400	0.0780	0.0440	7072	7353
PD53369a-PD53369b	99.3200	0.0890	0.1740	7097	7353
PD70963a-PD70963b	96.2500	0.0380	0.0370	6727	7353
PD70964a-PD70964b	97.6200	0.0780	0.0870	6710	7353
PD70964c-PD70964b	99.4700	0.0780	0.0440	6650	7353
PD70965a-PD70965b	99.4000	0.0630	0.0610	6836	7353
PD70967a-PD70967b	99.7600	0.0710	0.0560	6677	7353
PD70968a-PD70968b	94.1900	0.0280	0.0430	6734	7353
PD70968c-PD70968b	90.5500	0.0280	0.0460	6770	7353
PD70969a-PD70969b	99.8500	0.0440	0.0510	6679	7353
PD70970a-PD70970b	99.6600	0.1000	0.0990	6850	7353
PD70971a-PD70971b	91.9400	0.0220	0.0260	6741	7353
PD70971c-PD70971b	88.6400	0.0220	0.1840	6785	7353
PD70972a-PD70972b	99.8700	0.0560	0.0670	6760	7353
PD70972c-PD70972b	98.1200	0.0560	0.0840	6745	7353
PD70973a-PD70973b	99.7900	0.0510	0.0410	6767	7353
PD70974a-PD70974b	97.0500	0.0570	0.0500	6755	7353
PD70974c-PD70974b	91.3300	0.0570	0.1420	6698	7353
PD70975a-PD70975b	96.9800	0.0900	0.0600	6681	7353
PD70975c-PD70975b	90.3200	0.0900	0.1490	6590	7353
PD70976a-PD70976b	99.7700	0.0700	0.0610	6809	7353
PD70976c-PD70976b	99.1700	0.0700	0.0640	6649	7353
